cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3508207;Buritizal;2020;3;Alto;4307
3508207;Buritizal;2022;4;Muito alto;4354
3508207;Buritizal;2024;4;Muito alto;4371
3508306;Cabrália Paulista;2014;1;Baixo;4331
3508306;Cabrália Paulista;2016;1;Baixo;4319
3508306;Cabrália Paulista;2018;2;Médio;4313
3508306;Cabrália Paulista;2020;2;Médio;4308
3508306;Cabrália Paulista;2022;1;Baixo;4299
3508306;Cabrália Paulista;2024;2;Médio;4258
3508405;Cabreúva;2014;3;Alto;44719
3508405;Cabreúva;2016;2;Médio;46306
3508405;Cabreúva;2018;3;Alto;47842
3508405;Cabreúva;2020;3;Alto;49430
3508405;Cabreúva;2022;3;Alto;46971
3508405;Cabreúva;2024;4;Muito alto;47753
3508504;Caçapava;2014;2;Médio;87599
3508504;Caçapava;2016;2;Médio;88913
3508504;Caçapava;2018;3;Alto;90057
3508504;Caçapava;2020;3;Alto;91217
3508504;Caçapava;2022;2;Médio;96117
3508504;Caçapava;2024;3;Alto;97364
3508603;Cachoeira Paulista;2014;1;Baixo;30989
3508603;Cachoeira Paulista;2016;1;Baixo;31423
3508603;Cachoeira Paulista;2018;1;Baixo;31825
3508603;Cachoeira Paulista;2020;2;Médio;32231
3508603;Cachoeira Paulista;2022;1;Baixo;31554
3508603;Cachoeira Paulista;2024;2;Médio;31617
3508702;Caconde;2014;2;Médio;18655
3508702;Caconde;2016;2;Médio;18719
